miembros,nombrekr,nacionalidad,subunidad,posicion,year,img,age
Chen Le,천러,Chino,NCT Dream,Vocalista y Bailarín,2001,https://pbs.twimg.com/media/DYPmldhX0AEXvOe.jpg,17
Do Young,도영,Coreano,NCT U — NCT 127,Vocalista y Bailarín,1996,https://pbs.twimg.com/media/DYPmjcEXkAAsDI_.jpg,22
Hae Chan,해찬,Coreano,NCT 127 — NCT Dream,Vocalista y Bailarín,2000,https://pbs.twimg.com/media/DYPmldnX4AYBPJE.jpg,18
Jae Hyun,재현,Coreano,NCT U — NCT 127,Vocalista y Bailarín,1997,https://pbs.twimg.com/media/DYPmjcOWAAAdtKU.jpg,21
Jae Min,재민,Coreano,NCT Dream,Vocalista y Bailarín,2000,https://i.pinimg.com/originals/62/f4/77/62f477cd51f8900e134a636e69a6c842.jpg,18
Jeno,제노,Coreano,NCT Dream,Vocalista y Bailarín,2000,https://pbs.twimg.com/media/DYPmpQqW4AEUhqw.jpg,18
Ji Sung,지성,Coreano,NCT Dream,Maknae,2002,https://pbs.twimg.com/media/DYPmpQuW0AEtEFf.jpg,16
Johnny,쟈니,Americano,NCT 127,Vocalista y Bailarín,1995,https://i.pinimg.com/originals/9e/32/ff/9e32ff5701192cecb6a47df5fe4dd3a2.jpg,23
Jung Woo,정우,Coreano,NCT U,Vocalista y Bailarín,1998,https://i.pinimg.com/originals/f4/48/8d/f4488db756a5cab1e098412d341e2149.jpg,20
Kun,쿤,Chino,No tiene,Vocalista y Bailarín,1996,https://i.pinimg.com/originals/42/0c/b6/420cb6b97ef2e80427635248fda30f88.jpg,22
Lucas,루카스,Chino,NCT U,Rapero y Bailarín,1999,https://raw.githubusercontent.com/masayado/Evaluacion_Parcial_PHP/master/lucas.jpg,19
Mark,마크,Canadiense,NCT U — NCT 127 — NCT Dream,Rapero y Bailarín,1999,https://raw.githubusercontent.com/masayado/Evaluacion_Parcial_PHP/master/mark.jpg,19
Ren Jun,런쥔,Chino,NCT Dream,Vocalista y Bailarín,2000,https://pbs.twimg.com/media/DYPmpRgX4AANdVk.jpg,18
Tae Il,태일,Coreano,NCT 127,Vocalista y Bailarín,1994,https://raw.githubusercontent.com/masayado/Evaluacion_Parcial_PHP/master/taeil.jpg,24
Tae Yong,태용,Coreano,NCT U — NCT 127,Líder y Rapero,1995,https://pbs.twimg.com/media/DYPmldTWAAANMrw.jpg,23
Ten,텐,Tailandés,NCT U,Vocalista y Bailarín,1996,https://pbs.twimg.com/media/DYPmlcjWkAE576Z.jpg,22
Win Win,윈윈,Chino,NCT U — NCT 127,Vocalista y Bailarín,1997,https://pbs.twimg.com/media/DYPmnbZW0AEf2er.jpg,21
Yuta,유타,Japonés,NCT 127,Vocalista y Bailarín,1995,https://pbs.twimg.com/media/DYPmnbzXUAAnw6T.jpg,23